Date,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA
5/31/2019,90.4,17,27,10050218.0,28.406999999999996,13.364,-2.94
5/30/2019,93.34,17,27,11605416.0,29.331,13.799000000000001,1.54
5/29/2019,91.8,17,27,17458432.0,28.846999999999998,13.571,2.97
5/28/2019,88.83,17,27,21523688.0,27.914,13.132,-3.475
5/24/2019,95.78,17,28,19017154.0,30.098000000000003,14.16,5.8
5/23/2019,89.98,17,28,11658806.0,28.275,13.302,1.96
5/22/2019,88.02,17,28,10019420.0,27.659000000000002,13.013,0.39
5/21/2019,87.63,17,28,10989382.0,27.537,12.955,4.3
5/20/2019,83.33,17,28,11115105.0,26.185,12.319,-0.7
5/17/2019,84.03,17,28,16140973.0,26.405,12.423,0.75
5/16/2019,83.28,17,28,11844146.0,26.17,12.312000000000001,-0.06
5/15/2019,83.34,17,28,10503090.0,26.188000000000002,12.321,0.51
5/14/2019,82.83,17,28,10519174.0,26.028000000000002,12.245,3.38
5/13/2019,79.45,17,28,22878292.0,24.965999999999998,11.745999999999999,-3.3
5/10/2019,82.75,17,51,25933356.0,26.003,12.234000000000002,-0.42
5/9/2019,83.17,17,51,56746608.0,26.135,12.296,18.25
5/8/2019,64.92,17,51,12383232.0,20.4,9.597999999999999,0.51
5/7/2019,64.41,17,51,13991867.0,20.24,9.522,-1.34
5/6/2019,65.75,17,51,8644004.0,20.660999999999998,9.72,0.73
5/3/2019,65.02,17,24,4597707.0,20.432000000000002,9.612,0.63
5/2/2019,64.39,17,24,6196279.0,20.234,9.519,0.7
5/1/2019,63.69,17,24,6873269.0,20.014,9.416,0.1
4/30/2019,63.59,16,24,8045414.0,19.982,9.401,0.31
4/29/2019,63.28,16,24,10486726.0,19.885,9.355,-0.16
4/26/2019,63.44,16,0,11456134.0,19.935,9.379,2.4
4/25/2019,61.04,16,0,7675944.0,19.180999999999997,9.024,0.07
4/24/2019,60.97,16,0,9040188.0,19.159000000000002,9.014,-0.56
4/23/2019,61.53,16,0,16577308.0,19.335,9.096,3.33
4/22/2019,58.2,16,0,8157645.0,18.289,8.604,0.76
4/18/2019,56.68,16,25,9480683.0,17.811,8.379,0.08
4/17/2019,56.6,16,25,10828190.0,17.785999999999998,8.368,-1.44
4/16/2019,58.04,16,25,13594898.0,18.238,8.58,1.45
4/15/2019,56.59,16,25,8860765.0,17.783,8.366,0.09
4/12/2019,56.5,16,24,13706210.0,17.754,8.353,-2.15
4/11/2019,58.65,16,24,9230395.0,18.43,8.671,0.08
4/10/2019,58.57,16,24,11912408.0,18.405,8.658999999999999,-0.75
4/9/2019,59.32,16,24,13873255.0,18.641,8.77,-1.41
4/8/2019,60.73,16,24,24549432.0,19.084,8.978,-2.67
4/5/2019,63.4,16,26,10716989.0,19.923,9.373,-1.09
4/4/2019,64.49,16,26,25099142.0,20.265,9.533999999999999,-4.11
4/3/2019,68.6,16,26,12867334.0,21.557,10.142000000000001,-2.04
4/2/2019,70.64,16,26,10053317.0,22.198,10.443,1.53
4/1/2019,69.11,16,26,14424863.0,21.717,10.217,4.6
3/29/2019,64.51,15,0,6211799.0,28.944000000000003,9.537,0.12
3/28/2019,64.39,15,0,8253736.0,28.891,9.519,2.21
3/27/2019,62.18,15,0,9859517.0,27.899,9.193,-2.13
3/26/2019,64.31,15,0,14257182.0,28.855,9.507,-2.59
3/25/2019,66.9,15,0,20747682.0,30.017,9.89,2.99
3/22/2019,63.91,15,25,8347949.0,28.675,9.448,-3.03
3/21/2019,66.94,15,25,7901835.0,30.035,9.896,1.97
3/20/2019,64.97,15,25,6443870.0,29.151,9.605,0.05
3/19/2019,64.92,15,25,10828930.0,29.128,9.597999999999999,1.31
3/18/2019,63.61,15,25,10971839.0,28.541,9.404,0.82
3/15/2019,62.79,15,51,12736600.0,28.173000000000002,9.283,0.97
3/14/2019,61.82,15,51,23780692.0,27.737,9.139,1.08
3/13/2019,60.74,15,51,38849884.0,27.253,8.98,-9.98
3/12/2019,70.72,15,51,11693661.0,31.730999999999998,10.455,-3.4
3/11/2019,74.12,15,51,9832045.0,33.256,10.958,2.85
3/8/2019,71.27,15,24,11553264.0,31.976999999999997,10.536,0.46
3/7/2019,70.81,15,24,9990236.0,31.771,10.468,-1.08
3/6/2019,71.89,15,24,15339468.0,32.256,10.628,3.06
3/5/2019,68.83,15,24,9322867.0,30.883000000000003,10.176,1.78
3/4/2019,67.05,15,24,15844877.0,30.084,9.912,-2.03
3/1/2019,69.08,15,0,10741712.0,30.995,10.213,2.79
2/28/2019,66.29,14,0,8149100.0,29.743000000000002,9.8,-1.08
2/27/2019,67.37,14,0,9676513.0,30.228,9.96,2.29
2/26/2019,65.08,14,0,12994362.0,29.2,9.621,0.21
2/25/2019,64.87,14,0,22283392.0,29.105999999999998,9.59,0.4
2/22/2019,64.47,14,47,48341724.0,28.926,9.531,12.99
2/21/2019,51.48,14,47,16876332.0,23.098000000000003,7.611000000000001,-2.16
2/20/2019,53.64,14,47,10739940.0,24.066999999999997,7.93,0.42
2/19/2019,53.22,14,47,14485571.0,23.879,7.867999999999999,0.57
2/15/2019,52.08,14,0,7162276.0,23.366999999999997,7.699,1.11
2/14/2019,50.97,14,0,10047617.0,22.869,7.535,0.77
2/13/2019,50.2,14,0,7000440.0,22.524,7.421,0.99
2/12/2019,49.21,14,0,9823164.0,22.08,7.275,2.23
2/11/2019,46.98,14,0,13510969.0,21.079,6.945,-1.29
2/8/2019,48.27,14,37,6471210.0,21.658,7.136,1.41
2/7/2019,46.86,14,37,10505793.0,21.025,6.928,-1.52
2/6/2019,48.38,14,37,6243397.0,21.706999999999997,7.152,0.22
2/5/2019,48.16,14,37,11813100.0,21.608,7.12,0.73
2/4/2019,47.43,14,37,28406992.0,21.281,7.0120000000000005,2.22
2/1/2019,45.21,14,27,5668616.0,20.285,6.684,0.26
1/31/2019,44.95,13,27,8078315.0,20.168,6.645,0.82
1/30/2019,44.13,13,27,7986271.0,19.8,6.524,1.28
1/29/2019,42.85,13,27,15778817.0,19.226,6.335,-1.01
1/28/2019,43.86,13,27,9188373.0,19.679000000000002,6.484,0.17
1/25/2019,43.69,13,24,11246858.0,19.602999999999998,6.459,0.4
1/24/2019,43.29,13,24,13235792.0,19.423,6.4,2.85
1/23/2019,40.44,13,24,8159928.0,18.145,5.979,0.53
1/22/2019,39.91,13,24,6386998.0,17.907,5.9,-0.535
1/18/2019,40.98,13,24,12690891.0,18.387,6.058,-0.65
1/17/2019,41.63,13,24,14000744.0,18.679000000000002,6.154,1.74
1/16/2019,39.89,13,24,10778742.0,17.898,5.897,-0.6
1/15/2019,40.49,13,24,10322159.0,18.167,5.986000000000001,1.03
1/14/2019,39.46,13,24,11192746.0,17.705,5.834,-0.11
1/11/2019,39.57,13,64,12528227.0,17.754,5.85,-0.59
1/10/2019,40.16,13,64,17148804.0,18.019000000000002,5.937,-1.94
1/9/2019,42.1,13,64,19848180.0,18.889,6.224,1.22
1/8/2019,40.88,13,64,44167680.0,18.342,6.044,-1.3
1/7/2019,42.18,13,64,42253656.0,18.925,6.236000000000001,8.45
1/4/2019,33.73,13,29,15505498.0,15.134,4.987,3.63
1/3/2019,30.1,13,29,14989436.0,13.505,4.45,-2.42
1/2/2019,32.52,13,29,11890333.0,14.591,4.808,0.94
12/31/2018,30.64,12,29,6875507.0,13.748,4.53,0.48
12/28/2018,30.16,12,0,11221724.0,14.839,5.832000000000001,-0.3
12/27/2018,30.46,12,0,18877228.0,14.987,5.89,0.11
12/26/2018,30.35,12,0,16972224.0,14.932,5.869,1.59
12/24/2018,27.17,12,0,4558538.0,13.368,5.254,-0.11
12/21/2018,27.28,12,0,7210294.0,13.422,5.275,-2.38
12/20/2018,29.66,12,0,6234057.0,14.593,5.736000000000001,-0.95
12/19/2018,30.61,12,0,5750140.0,15.06,5.919,-0.73
12/18/2018,31.34,12,0,6371577.0,15.42,6.06,-0.78
12/17/2018,32.12,12,0,5649225.0,15.802999999999999,6.211,-1.3
12/14/2018,33.42,12,27,4521460.0,16.442999999999998,6.462999999999999,-0.32
12/13/2018,33.74,12,27,6544754.0,16.6,6.525,-1.43
12/12/2018,35.17,12,27,7913297.0,17.304000000000002,6.801,-0.64
12/11/2018,35.81,12,27,13491557.0,17.619,6.925,-1.39
12/10/2018,37.2,12,27,7099221.0,18.303,7.194,-0.72
12/7/2018,37.92,12,0,5016994.0,18.657,7.332999999999999,-2.9
12/6/2018,40.82,12,0,4191371.0,20.084,7.894,0.52
12/4/2018,39.78,12,0,4280805.0,19.572,7.693,-2.39
12/3/2018,42.17,12,0,6457636.0,20.748,8.155,1.42
11/30/2018,40.75,11,37,3568516.0,20.049,7.88,-0.09
11/29/2018,40.84,11,37,9090562.0,20.094,7.898,1.91
11/28/2018,38.93,11,37,10524807.0,19.154,7.528,-0.29
11/27/2018,39.22,11,37,6495250.0,19.297,7.584,-1.99
11/26/2018,41.21,11,37,5090833.0,20.276,7.968999999999999,1.29
11/23/2018,39.92,11,26,2417763.0,19.641,7.72,-0.165
11/21/2018,40.25,11,26,5220172.0,19.803,7.7829999999999995,-0.61
11/20/2018,40.86,11,26,7999048.0,20.102999999999998,7.901,-1.81
11/19/2018,42.67,11,26,4324592.0,20.994,8.251,-1.91
11/16/2018,44.58,11,24,5722140.0,21.934,8.621,0.05
11/15/2018,44.53,11,24,8040320.0,21.909000000000002,8.611,1.33
11/14/2018,43.2,11,24,6572697.0,21.255,8.354,0.76
11/13/2018,42.44,11,24,7877340.0,20.881,8.207,0.98
11/12/2018,41.46,11,24,10576009.0,20.399,8.017000000000001,-2.48
11/9/2018,43.94,11,94,14422201.0,21.619,8.497,-1.8
11/8/2018,45.74,11,94,34311196.0,22.504,8.845,-13.12
11/7/2018,58.86,11,94,11827646.0,28.96,11.382,3.24
11/6/2018,55.62,11,94,5364335.0,27.365,10.755999999999998,-1.23
11/5/2018,56.85,11,94,5432411.0,27.971,10.994000000000002,-1.04
11/2/2018,57.89,11,0,4966540.0,28.482,11.195,0.06
11/1/2018,57.83,11,0,7179657.0,28.453000000000003,11.183,2.23
10/31/2018,55.6,10,0,5970796.0,27.355999999999998,10.752,3.34
10/30/2018,52.26,10,0,5603724.0,25.712,10.106,1.79
10/29/2018,50.47,10,0,5794629.0,24.831999999999997,9.76,-1.35
10/26/2018,51.82,10,25,9263695.0,25.496,10.021,-0.23
10/25/2018,52.05,10,25,7002336.0,25.609,10.065,1.31
10/24/2018,50.74,10,25,8156966.0,24.964000000000002,9.812000000000001,-3.35
10/23/2018,54.09,10,25,9144114.0,26.613000000000003,10.46,0.18
10/22/2018,53.91,10,25,8460426.0,26.524,10.425,-0.18
10/19/2018,54.09,10,28,8761955.0,26.613000000000003,10.46,-2.92
10/18/2018,57.01,10,28,8286088.0,28.049,11.024000000000001,-3.83
10/17/2018,60.84,10,28,10876692.0,29.934,11.765,-2.82
10/16/2018,63.66,10,28,7637302.0,31.320999999999998,12.31,1.97
10/15/2018,61.69,10,28,7870356.0,30.351999999999997,11.929,1.28
10/12/2018,60.41,10,0,14209240.0,29.721999999999998,11.682,4.33
10/11/2018,56.08,10,0,9105860.0,27.592,10.845,-0.37
10/10/2018,56.45,10,0,13585139.0,27.774,10.915999999999999,-8.05
10/9/2018,64.5,10,0,5120815.0,31.734,12.472999999999999,-1.14
10/8/2018,65.64,10,0,7326952.0,32.295,12.693,-1.3
10/5/2018,66.94,10,0,8800202.0,32.935,12.945,0.12
10/4/2018,66.82,10,0,11991555.0,32.876,12.922,-5.75
10/3/2018,72.57,10,0,7931578.0,35.705,14.033,0.93
10/2/2018,71.64,10,0,8319522.0,35.247,13.854000000000001,-4.84
10/1/2018,76.48,10,0,8453116.0,37.629,14.79,3.45
9/28/2018,73.03,9,24,4791780.0,36.583,14.122,-1.71
9/27/2018,74.74,9,24,2436938.0,37.439,14.453,1.4
9/26/2018,73.34,9,24,5238105.0,36.738,14.182,0.31
9/25/2018,73.03,9,24,4249800.0,36.583,14.122,-0.04
9/24/2018,73.07,9,24,3890863.0,36.603,14.13,0.62
9/21/2018,72.45,9,49,5191233.0,36.292,14.01,-0.41
9/20/2018,72.86,9,49,7309533.0,36.497,14.09,2.25
9/19/2018,70.61,9,49,6043224.0,35.37,13.654000000000002,-1.46
9/18/2018,72.07,9,49,7312071.0,36.102,13.937000000000001,2.32
9/17/2018,69.75,9,49,3945942.0,34.94,13.488,-1.37
9/14/2018,71.12,9,49,4626628.0,35.626,13.753,0.51
9/13/2018,70.61,9,49,5469639.0,35.37,13.654000000000002,-0.33
9/12/2018,70.94,9,49,9000732.0,35.536,13.718,-0.04
9/11/2018,70.98,9,49,8278404.0,35.556,13.725999999999999,2.27
9/10/2018,68.71,9,49,12169365.0,34.419000000000004,13.287,3.48
9/7/2018,65.23,9,0,7759832.0,32.675,12.614,1.63
9/6/2018,63.6,9,0,5510603.0,31.859,12.299000000000001,2.25
