Date,Open,Close,Month Number,Weekly Mentions,Volume,PB,PS,MOA,price change,ShiftedPB,ShiftedPS
10/10/2019,118.12,116.13,22,26,26167890.0,29.426,17.168,-1.66,0.051602535487902876,29.426,17.168
10/9/2019,112.01,117.79,22,26,28476592.0,29.846999999999998,17.414,9.79,0.024376363463909638,29.846999999999998,17.414
10/8/2019,105.43,108.0,22,26,13903293.0,27.366,15.966,1.75,-0.014378478664192925,27.366,15.966
10/7/2019,107.8,106.25,22,26,21165122.0,26.921999999999997,15.708,-0.52,-0.02090784044016507,26.921999999999997,15.708
10/4/2019,109.05,106.77,22,37,20940468.0,27.054000000000002,15.785,-2.07,0.046437842515142755,27.054000000000002,15.785
10/3/2019,104.01,108.84,22,37,22698276.0,27.579,16.090999999999998,6.22,0.01694579328114169,27.579,16.090999999999998
10/2/2019,100.91,102.62,22,37,15046503.0,26.003,15.171,0.22,0.004315417810906355,26.003,15.171
10/1/2019,101.96,102.4,22,37,16603369.0,25.947,15.139000000000001,0.64,0.023742454728370214,25.947,15.139000000000001
9/30/2019,99.4,101.76,21,37,13667341.0,25.785,15.044,2.02,-0.03474305622762028,25.785,15.044
9/27/2019,103.33,99.74,21,26,17550648.0,25.165,14.745,-3.6,-0.029580242276269993,25.165,14.745
9/26/2019,106.49,103.34,21,26,16078416.0,26.074,15.277000000000001,-2.96,0.013152878383530265,26.074,15.277000000000001
9/25/2019,104.92,106.3,21,26,21048964.0,26.82,15.715,2.77,-0.04483808469415997,26.82,15.715
9/24/2019,108.39,103.53,21,26,37250840.0,26.122,15.306,-3.84,-0.010870566559189245,26.122,15.306
9/23/2019,108.55,107.37,21,26,28340144.0,27.09,15.873,-0.68,-0.15181725410157787,27.09,15.873
9/20/2019,127.39,108.05,21,51,65016348.0,27.261999999999997,15.974,-25.71,0.04655339957749773,27.261999999999997,15.974
9/19/2019,127.81,133.75999,21,51,25298956.0,33.749,19.775,3.88,-0.09554323847191934,33.749,19.775
9/18/2019,143.60001,129.88,21,51,38239044.0,32.77,19.201,-20.64,0.0017970049916806005,32.77,19.201
9/17/2019,150.25,150.52,21,51,11182327.0,37.978,22.252,0.98,0.01748649384228067,37.978,22.252
9/16/2019,146.97,149.53999,21,51,11942246.0,37.73,22.108,1.99,0.006068457657166335,37.73,22.108
9/13/2019,146.66,147.55,21,24,9256540.0,37.228,21.813000000000002,-0.23,-0.014799999999999992,37.228,21.813000000000002
9/12/2019,150.0,147.78,21,24,14002034.0,37.286,21.846999999999998,-1.98,0.02190371886728063,37.286,21.846999999999998
9/11/2019,146.55,149.75999,21,24,18660056.0,37.786,22.14,5.62,-0.08319552219819369,37.786,22.14
9/10/2019,157.22,144.14,21,24,34820480.0,36.368,21.309,-16.89,-0.07240788753410785,36.368,21.309
9/9/2019,173.60001,161.03,21,24,23942096.0,40.629,23.805999999999997,-8.83,0.02653048891037659,40.629,23.805999999999997
9/6/2019,165.47,169.86,21,23,14892281.0,42.857,25.112,2.93,-0.004532232094937051,42.857,25.112
9/5/2019,167.69,166.92999,21,23,23419328.0,42.118,24.678,-1.98,0.04594705270003998,42.118,24.678
9/4/2019,161.49001,168.91,21,23,28523784.0,42.617,24.971,12.03,0.03990454726236233,42.617,24.971
9/3/2019,150.86,156.88,21,23,12616888.0,39.582,23.193,2.76,0.0025168896542590007,39.582,23.193
8/30/2019,150.98,151.36,20,25,10530270.0,38.189,22.377,1.48,0.012702702702702672,38.189,22.377
8/29/2019,148.0,149.88,20,25,10435053.0,37.816,22.158,3.99,-0.001300657174151329,37.816,22.158
8/28/2019,146.08,145.89,20,25,9592996.0,36.809,21.568,-1.13,0.014700807509145035,36.809,21.568
8/27/2019,144.89,147.02,20,25,19435392.0,37.094,21.735,4.01,0.0209165476870358,37.094,21.735
8/26/2019,140.08,143.00999,20,25,11156073.0,36.083,21.142,5.27,-0.00014503485373347852,36.083,21.142
8/23/2019,137.75999,137.74001,20,27,11347155.0,34.753,20.363,-1.4,0.006437613019891402,34.753,20.363
8/22/2019,138.25,139.14,20,27,6603220.0,35.106,20.57,0.56,0.02560686796921261,35.106,20.57
8/21/2019,135.12,138.58,20,27,8211885.0,34.965,20.487,4.32,-0.0017103129072562678,34.965,20.487
8/20/2019,134.49001,134.25999,20,27,6655345.0,33.875,19.849,-0.7,0.019797566873205438,33.875,19.849
8/19/2019,132.34,134.96001,20,27,9345713.0,34.052,19.952,3.92,0.00022899017090224295,34.052,19.952
8/16/2019,131.00999,131.03999,20,25,6368413.0,33.063,19.373,1.64,-0.027067744360902236,33.063,19.373
8/15/2019,133.0,129.39999,20,25,9053574.0,32.649,19.13,-1.17,-0.014193959984899905,32.649,19.13
8/14/2019,132.45,130.57001,20,25,11600681.0,32.944,19.303,-4.76,-0.013629737609329274,32.944,19.303
8/13/2019,137.2,135.33,20,25,20273220.0,34.145,20.007,1.03,0.034190666872015996,34.145,20.007
